1: [('L', 0.9829), ('Q', 0.8765), ('R', 0.8632), ('M', 0.8322), ('A', 0.8251), ('J', 0.8094), ('Y', 0.7929), ('S', 0.731), ('I', 0.6832)]
2: [('O', 0.9524), ('Q', 0.8664), ('N', 0.8323), ('C', 0.7709), ('E', 0.7677), ('M', 0.7588), ('S', 0.753), ('Y', 0.6596), ('T', 0.6143)]
3: [('R', 0.9791), ('G', 0.7957), ('D', 0.772), ('X', 0.7297), ('O', 0.7291), ('J', 0.7068), ('U', 0.6753), ('N', 0.661), ('B', 0.613)]
4: [('E', 0.9865), ('J', 0.8603), ('W', 0.8385), ('B', 0.7252), ('S', 0.7178), ('A', 0.6813), ('F', 0.6711), ('T', 0.629), ('H', 0.6274)]
5: [('M', 0.9523), ('R', 0.8496), ('H', 0.8471), ('S', 0.8458), ('B', 0.8062), ('U', 0.7829), ('P', 0.7467), ('W', 0.7183), ('O', 0.6241)]
6: [('I', 0.9623), ('G', 0.8969), ('H', 0.8603), ('V', 0.7685), ('Z', 0.7119), ('A', 0.6917), ('F', 0.6416), ('S', 0.6306), ('D', 0.6202)]
7: [('P', 0.9794), ('G', 0.7996), ('X', 0.7784), ('B', 0.7772), ('H', 0.7624), ('W', 0.7571), ('L', 0.7125), ('Q', 0.6851), ('T', 0.6335)]
8: [('S', 0.9705), ('I', 0.8937), ('W', 0.8784), ('K', 0.8583), ('F', 0.8348), ('U', 0.8293), ('N', 0.7786), ('Q', 0.7189), ('M', 0.7117)]
9: [('U', 0.9673), ('J', 0.7975), ('O', 0.7641), ('Q', 0.7524), ('M', 0.7325), ('E', 0.7075), ('Y', 0.6926), ('L', 0.659), ('B', 0.6452)]
10: [('M', 0.9839), ('S', 0.8381), ('N', 0.8085), ('F', 0.8017), ('K', 0.7798), ('J', 0.7059), ('T', 0.6795), ('W', 0.6386), ('B', 0.6368)]
11: [('D', 0.9596), ('Y', 0.8943), ('R', 0.8913), ('J', 0.7695), ('E', 0.7401), ('O', 0.7305), ('Q', 0.6745), ('W', 0.6657), ('G', 0.6095)]
12: [('O', 0.964), ('L', 0.8425), ('H', 0.8224), ('Z', 0.7862), ('K', 0.7349), ('Y', 0.7293), ('A', 0.7029), ('P', 0.621), ('T', 0.6131)]
13: [('L', 0.9631), ('S', 0.8655), ('N', 0.7621), ('Z', 0.7379), ('Q', 0.6935), ('B', 0.6749), ('P', 0.6648), ('O', 0.6575), ('I', 0.6217)]
14: [('O', 0.9766), ('B', 0.8858), ('G', 0.8457), ('H', 0.802), ('W', 0.7341), ('U', 0.7175), ('D', 0.7119), ('K', 0.6121), ('Q', 0.6008)]
